packet_index;timestamp;length;direction;num_cells;ack
0;1488999850.9894450;609;1;1;0
1;1488999851.0262041;66;-1;0;1
2;1488999851.0266969;609;-1;1;0
3;1488999851.0267141;66;1;0;1
4;1488999851.0271821;609;1;1;0
5;1488999851.1037459;66;-1;0;1
6;1488999851.1209850;609;-1;1;0
7;1488999851.1215219;609;1;1;0
8;1488999851.1571670;66;-1;0;1
9;1488999851.2735419;609;-1;1;0
10;1488999851.3116131;66;1;0;1
11;1488999854.0222239;609;1;1;0
12;1488999854.0582430;66;-1;0;1
13;1488999854.0582600;609;1;1;0
15;1488999854.2409060;609;-1;1;0
16;1488999854.2409289;66;1;0;1
17;1488999854.2768741;609;-1;1;0
19;1488999854.4494219;609;1;1;0
20;1488999854.4848220;66;-1;0;1
21;1488999854.4848361;609;1;1;0
23;1488999854.6069939;609;-1;1;0
24;1488999854.6070120;66;1;0;1
25;1488999855.0329380;1514;-1;2;0
27;1488999855.0334110;1514;-1;2;0
29;1488999855.0334120;283;-1;0;0
31;1488999855.0414751;609;1;1;0
32;1488999855.0828731;66;-1;0;1
33;1488999855.0828891;1152;1;2;0
35;1488999855.1996119;609;-1;1;0
36;1488999855.2395880;66;1;0;1
37;1488999855.4979470;609;-1;1;0
39;1488999855.5669711;1123;-1;2;0
41;1488999855.5684409;609;1;1;0
42;1488999855.6037850;66;-1;0;1
43;1488999855.6850049;1514;-1;2;0
44;1488999855.6850049;1514;-1;2;0
45;1488999855.6850350;66;1;0;1
46;1488999855.6850100;797;-1;1;0
47;1488999855.7117350;1514;-1;2;0
49;1488999855.7122519;1514;-1;2;0
50;1488999855.7377219;1514;-1;2;0
52;1488999855.7377329;1514;-1;2;0
53;1488999855.7377329;1514;-1;2;0
55;1488999855.7386520;1514;-1;2;0
56;1488999855.7386799;1514;-1;2;0
58;1488999855.7386811;1514;-1;2;0
59;1488999855.7473509;449;-1;0;0
61;1488999855.7735341;1514;-1;2;0
62;1488999855.7735341;1514;-1;2;0
64;1488999855.7831640;797;-1;1;0
65;1488999855.7931311;1514;-1;2;0
67;1488999855.8087480;609;1;1;0
68;1488999855.8251629;1514;1;2;0
69;1488999855.8291221;1217;-1;2;0
70;1488999855.8626440;66;-1;0;1
71;1488999855.8626621;247;1;0;0
73;1488999855.9229510;609;1;1;0
74;1488999855.9274850;1514;1;2;0
76;1488999855.9586811;1333;1;2;0
77;1488999855.9800351;1514;1;2;0
78;1488999855.9914761;1514;1;2;0
80;1488999855.9948390;428;1;0;0
81;1488999855.9974310;609;-1;1;0
82;1488999856.0011940;1514;-1;2;0
83;1488999856.0012131;66;1;0;1
84;1488999856.0011950;1514;-1;2;0
85;1488999856.0012000;1514;-1;2;0
87;1488999856.0217121;1514;-1;2;0
88;1488999856.0301571;66;-1;0;1
89;1488999856.0301759;609;1;1;0
90;1488999856.0368030;1072;-1;1;0
91;1488999856.0545030;1514;-1;2;0
92;1488999856.0545199;66;1;0;1
93;1488999856.0545070;1514;-1;2;0
94;1488999856.0666881;1514;-1;2;0
95;1488999856.0667019;609;1;1;0
96;1488999856.0667379;1514;-1;2;0
97;1488999856.0667379;1514;-1;2;0
98;1488999856.0667479;66;1;0;1
99;1488999856.0901401;1195;-1;2;0
100;1488999856.1014290;1514;-1;2;0
102;1488999856.1014330;1514;-1;2;0
103;1488999856.1034780;1514;-1;2;0
